name,callsign,stationid,url
5StarMax,5MAXHD,59961,
9 News,KUSADT,21298,
ABC News Live,ABCNL,113380,
ACC Network,ACC,111871,
ActionMax East,ACMAXHD,59948,
ActionMax West,ACMXHDP,59950,
All Reality WeTV,WEREAL,115679,
Alpha ETC Punjabi,,,
AMC,AMCHD,59337,
AMC Thrillers,AMCRSH,115678,
AMC+,AMCPLUS,114759,
American Crimes,CRMESHD,121250,
Animal Planet,APLHD,57394,
Antenna 3 Internacional HD,,,
Baby TV Espanol,,,
Bandmax,,,
BBC America,BBCAHD,64492,
BBC News,BBCWDEH,101449,
beIN Extra Espanol,,,
beIN Sports,BEIN1HD,76950,
beIN Sports Espanol,,,
beIN Sports Xtra,BEINSTR,120375,
BET,BETHD,63236,
BET (Pacific),BETHDP,64673,
BET Her,BHER,14897,
Billiard TV,BILSTR,120469,
Bounce,BOUNCE,73067,
Bravo,BRAVOHD,58625,
BTN,BIG10HD,58321,
Cartoon Network,TOONHD,60048,
Cartoon Network (Pacific),TOONP,18151,
CBS 4,KCNCDT,21297,
CBS Sports Network,CBSSNHD,59250,
Charge!,CHARGEP,102162,
Cheddar,CHDDRSD,109333,
CHI Stream,,,
Cine Mexicano,,,
Cine Sony Television,,,
Cinelatino,,,
Cinemax East,MAXHD,34933,
Cinemax Latino,CMAXHD,59965,
Cinemax West,MAXHDP,35975,
CMT,CMTHD,59440,
CNBC,CNBCHD,58780,
CNN,CNNHD,58646,
CNN en Espanol,CNNL,17054,
CNN Max,CNNMAX,145598,
Colorado's Own (CW2),KWGNDT,20370,
Comedy Central,CCHD,62420,
Comedy Central (Pacific),CCHDP,64599,
Comedy.TV,CMDTVHD,82470,
Comet TV,COMETP,97244,
Court TV,COURT,111043,
Cozi,COZITV,78851,
Dabl,DABLPHD,120762,
De Pelicula,,,
Denver 7,KMGHDT,20293,
Discovery Channel,DISSCI,24282,
Discovery en Espanol,,,
Discovery Familia,,,
Disney Channel,DISNHD,59684,
Disney Channel (Pacific),DISNHDP,63320,
Disney Jr,DJCHHDP,75004,
Disney XD,DISNEYXDP,63322,
E!,EHD,61812,
ESPN,ESPNHD,32645,
ESPN Deportes,ESPNDHD,71914,
ESPN2,ESPN2HD,45507,
ESPNews,ESPNWHD,59976,
ESPNU,ESPNUHD,60696,
Estrella TV,,,
FanDuel Racing,FDLRCHD,124109,
FanDuel TV,FDUELTV,21345,
Fight Network,FIGHT,48099,
Food Network,FOODHD,50747,
Foro TV HD,,,
Fox 31,KDVRDT,21319,
Fox Business,FBNHD,58718,
Fox Deportes,FXDEPHD,72189,
Fox News,FNCHD,60179,
Fox Soccer Plus,FSCPLHD,66880,
Fox Soul,FOXSOUL,119212,
Fox Sports 4K,FS4K1,111003,
Fox Weather,FOXWX,93141,
Freeform,FREFMHD,59615,
FS1,FS1HD,82547,
FS2,FS2HD,59305,
FX,FXHD,58574,
FXM,FXMHD,70253,
FXX,FXXHD,66379,
Galavision,GALAHD,68367,
Game Show Network,GSNHD,68065,
Get,GET,82563,
GMA News TV,,,
GMA Pinoy TV,,,
Golf Channel,GOLFHD,61854,
Hallmark Channel,HALLHD,66268,
Hallmark Family,HFM,105723,
Hallmark Mystery,HMYSHD,46710,
HBO Comedy East,HBOCHD,59839,
HBO Comedy West,HBOCPHD,59841,
HBO East,HBOHD,19548,
HBO Family East,HBOFHD,59357,
HBO Family West,HBOFPHD,59362,
HBO Latino East,HBOLAHD,59837,
HBO Latino West,HBOLPHD,59849,
HBO Signature East,HBOSGHD,59363,
HBO Signature West,HBOSPHD,59366,
HBO West,HBOHDP,19566,
HBO Zone East,HBOZHD,59845,
HBO Zone West,HBOZPHD,59847,
HBO2 East,HBO2HD,59368,
HBO2 West,HBO2PHD,59355,
Here TV,HERETV,45210,
HGTV,HGTVD,49788,
HLN,HLNHD,64549,
Hogar de HTV,,,
HSN,HSNHD,62077,
Huntstream,,,
ID,IDHD,65342,
IFC,IFCHD,59444,
Impact Wrestling,XSLIW,133975,
ION,IONDHD,18633,
JusticeCentral.TV,JUST,78850,
KCEC,KCECDT,43669,
KTFD,KTFDDT,58597,
Law & Crime,VIZLWCR,119221,
LiveNOW from Fox,LIVENOW,119219,
Local Now,LOCNOW,99988,
Magnolia Network Pacific,MAGNHD,67375,
Mav TV,VIZMAV,119207,
Max 1,MAX01,131773,
Max 12,MAX12,153403,
Max 2,MAX02,131807,
Max 3,MAX03,131808,
Max 4,MAX04,146081,
Max 5,MAX05,146082,
Max 6,MAX06,146083,
Max 7,MAX07,146084,
MGM+ Drive-In,MGMDRHD,103828,
MGM+ East,MGMHD,65687,
MGM+ Hits,MGMHTH,67929,
MGM+ Marquee,MGMMRHD,74073,
MGM+ West,MGMHDP,95927,
MoreMax,MOMAXHD,59373,
Motortrend,MTHD,31046,
MovieMax,MOVIEHD,59963,
MSNBC,MNBCHD,64241,
MTV,MTVHD,60964,
MTV (Pacific),MTVPHD,64630,
MTV Classic,MTVCLAS,22561,
MTV2,MTV2HD,75077,
Nat Geo,NGCPHD,71601,
Nat Geo Mundo,,,
Nat Geo Wild,NGWIHD,67331,
NBA TV,NBATV,32281,
NBC News NOW,NBCNN,114174,
NBC Sports 4K,NBC4K,113727,
Newsmax,NEWSMXH,97163,
NewsNation,NEWSNTN,91096,
NFL Network,NFLHD,45399,
Nick Jr,NICJRHD,82649,
Nickelodeon,NIKHD,59432,
Nickelodeon (Pacific),NIKP,11007,
Nicktoons,NIKTON,30420,
NTN 24 Nuestra Tele Noticias,,,
Nuestra Tele Nacional,,,
OuterMax,OMAXHD,59952,
Outside,OUTSIDE,68295,
Overtime,OTFAST,131737,
OWN,OWNPA,70387,
Oxygen True Crime,OXYGNHD,70522,
